Age Group,Gender,Occupation,Monthly Income,City Tier,Alcohol Consumption Frequency,Preferred Alcohol Types,Likelihood to Try New Cocktail,Purchase Channel,Preferred Consumption Setting,Interested Cocktail Flavours,Preferred Packaging,Preferred Pack Size,Interest in Mixed Flavour Packs,Ranking of Purchase Factors,Importance of Sustainability,Prefers Social Media Brands,Willingness to Pay (per unit),Likelihood to Recommend,Challenges in Choosing Cocktails,Buys on Bundle Deal,Willing to Switch Brand,Likelihood to Buy for Group Events,Would Join Loyalty Program,Preferred Channel (for purchase)
25-34,Male,Working Professional,"20,000–50,000",Tier 1,Occasionally,Whiskey,Very likely,Other,At home,"Mint,Lime",No preference,Pack of 2,Neutral,"Price,Brand,Flavour variety,Social cause,Packaging",Highly,Yes,₹200–₹300,Very likely,"Health concerns,Not enough information/branding",Yes,Yes,Always,Yes,Retail shop
25-34,Male,Entrepreneur,"20,000–50,000",Tier 2,Frequently,"Cocktails,Vodka,Beer",Neutral,Retail shop,Outdoors,"Mango,Mint",Glass bottle,Pack of 6,Interested,"Flavour variety,Price,Brand,Social cause,Packaging",Moderately,No,₹100–₹200,Likely,"Limited flavour options,Poor packaging,Other",Maybe,Yes,Occasionally,Yes,Retail shop
25-34,Male,Working Professional,">1,00,000",Metro,Occasionally,"Whiskey,Rum",Neutral,Retail shop,Bars/Pubs,"Classic,Guava,Lime",Glass bottle,Pack of 6,Interested,"Flavour variety,Price,Brand,Packaging,Social cause",Not at all,Yes,₹100–₹200,Neutral,"Lack of availability,Poor packaging,Health concerns",No,No,Occasionally,No,Retail shop
18-24,Male,Working Professional,"50,000–1,00,000",Metro,Never,"Gin,Beer",Likely,Bar,Social gatherings,"Berry,Coffee",Can,Pack of 6,Interested,"Price,Brand,Flavour variety,Packaging,Social cause",Highly,Doesn’t matter,<₹100,Neutral,"Limited flavour options,Lack of availability",No,Yes,Occasionally,No,Retail shop
18-24,Female,Working Professional,"20,000–50,000",Tier 1,Occasionally,"Beer,Other",Very likely,Pub,Social gatherings,"Guava,Pineapple,Orange",Glass bottle,Pack of 6,Slightly interested,"Brand,Price,Flavour variety,Packaging,Social cause",Highly,Yes,>₹300,Likely,"Not enough information/branding,Lack of availability,Health concerns",Yes,No,Occasionally,Yes,Restaurant
35-44,Female,Student,">1,00,000",Tier 3/Rural,Occasionally,"Whiskey,Cocktails,Gin",Likely,Online,At home,"Guava,Classic",Glass bottle,Pack of 2,Interested,"Flavour variety,Brand,Price,Packaging,Social cause",Highly,Yes,₹200–₹300,Neutral,"Health concerns,High price",No,No,Occasionally,No,Restaurant
25-34,Female,Working Professional,"50,000–1,00,000",Tier 3/Rural,Rarely,Vodka,Likely,Restaurant,Outdoors,Orange,Can,Pack of 6,Not interested,"Brand,Price,Flavour variety,Packaging,Social cause",Slightly,Doesn’t matter,<₹100,Very likely,Not enough information/branding,No,Maybe,Occasionally,Yes,Bar
18-24,Female,Working Professional,">1,00,000",Tier 2,Frequently,Beer,Likely,Bar,At home,"Coffee,Orange,Litchi",Glass bottle,Pack of 6,Slightly interested,"Price,Brand,Flavour variety,Social cause,Packaging",Moderately,No,₹100–₹200,Likely,High price,Yes,No,Occasionally,Yes,Restaurant
25-34,Male,Working Professional,"20,000–50,000",Tier 1,Never,"Gin,Whiskey,Vodka",Likely,Pub,Bars/Pubs,"Classic,Berry",Glass bottle,Pack of 6,Interested,"Price,Brand,Flavour variety,Social cause,Packaging",Extremely,Yes,₹200–₹300,Very unlikely,"Lack of availability,Poor packaging,Health concerns",Yes,Yes,Always,Yes,Bar
25-34,Female,Working Professional,"20,000–50,000",Tier 3/Rural,Rarely,"Beer,Whiskey,Other",Neutral,Duty-free,Social gatherings,"Classic,Orange,Mint",Can,Pack of 24,Interested,"Flavour variety,Price,Brand,Packaging,Social cause",Slightly,Yes,₹200–₹300,Very unlikely,Lack of availability,No,Maybe,Often,Yes,Online
18-24,Male,Entrepreneur,"20,000–50,000",Tier 2,Frequently,Whiskey,Unlikely,Bar,Restaurants,Mango,No preference,Pack of 2,Interested,"Brand,Flavour variety,Price,Social cause,Packaging",Highly,Doesn’t matter,<₹100,Very likely,"Lack of availability,Limited flavour options",Yes,Maybe,Occasionally,No,Bar
18-24,Male,Entrepreneur,"<20,000",Metro,Occasionally,Beer,Neutral,Online,At home,Mango,Can,Pack of 24,Very interested,"Flavour variety,Brand,Price,Packaging,Social cause",Extremely,Yes,₹100–₹200,Neutral,Not enough information/branding,Yes,No,Always,Yes,Retail shop
18-24,Female,Working Professional,"20,000–50,000",Tier 3/Rural,Rarely,"Beer,Whiskey",Neutral,Pub,Bars/Pubs,"Pineapple,Guava,Litchi",Can,Pack of 6,Slightly interested,"Flavour variety,Price,Brand,Packaging,Social cause",Extremely,Doesn’t matter,<₹100,Likely,Health concerns,Yes,Yes,Often,Yes,Retail shop
55+,Male,Working Professional,"50,000–1,00,000",Metro,Frequently,Beer,Very unlikely,Retail shop,Social gatherings,"Orange,Guava",Glass bottle,Pack of 12,Interested,"Price,Flavour variety,Brand,Social cause,Packaging",Slightly,Yes,₹200–₹300,Unlikely,"Health concerns,High price,Lack of availability",Yes,Maybe,Occasionally,No,Retail shop
25-34,Male,Student,"50,000–1,00,000",Metro,Never,Other,Likely,Retail shop,Bars/Pubs,Berry,No preference,Pack of 12,Neutral,"Price,Flavour variety,Brand,Packaging,Social cause",Extremely,Doesn’t matter,<₹100,Very likely,"Limited flavour options,High price",No,No,Often,No,Retail shop
45-54,Male,Working Professional,"50,000–1,00,000",Metro,Occasionally,"Whiskey,Rum,Vodka",Unlikely,Restaurant,Outdoors,Classic,No preference,Pack of 6,Interested,"Flavour variety,Price,Brand,Social cause,Packaging",Extremely,Doesn’t matter,<₹100,Unlikely,High price,No,Yes,Always,Yes,Retail shop
18-24,Male,Working Professional,"50,000–1,00,000",Tier 2,Rarely,"Whiskey,Gin,Beer",Neutral,Restaurant,Bars/Pubs,"Orange,Mango",Glass bottle,Pack of 2,Very interested,"Flavour variety,Price,Brand,Packaging,Social cause",Highly,Doesn’t matter,<₹100,Likely,"High price,Limited flavour options",No,Yes,Often,No,Retail shop
55+,Female,Working Professional,"50,000–1,00,000",Tier 1,Never,Vodka,Neutral,Retail shop,Social gatherings,Mint,Can,Pack of 6,Interested,"Price,Flavour variety,Brand,Social cause,Packaging",Highly,Doesn’t matter,<₹100,Likely,"Not enough information/branding,High price,Lack of availability",Yes,Yes,Often,No,Retail shop
35-44,Non-binary/Other,Student,"20,000–50,000",Metro,Occasionally,"Whiskey,Vodka",Neutral,Restaurant,At home,"Mango,Guava",Glass bottle,Pack of 6,Slightly interested,"Price,Flavour variety,Brand,Social cause,Packaging",Extremely,Yes,<₹100,Very likely,"High price,Lack of availability,Poor packaging",Yes,Maybe,Always,No,Bar
25-34,Female,Student,">1,00,000",Tier 1,Occasionally,Beer,Very likely,Retail shop,At home,Berry,Glass bottle,Pack of 12,Interested,"Brand,Price,Flavour variety,Packaging,Social cause",Moderately,No,₹200–₹300,Unlikely,"Other,Not enough information/branding,Limited flavour options",Yes,Yes,Occasionally,Yes,Retail shop
18-24,Male,Student,"50,000–1,00,000",Tier 1,Occasionally,Gin,Neutral,Online,At home,Mint,Glass bottle,Pack of 2,Very interested,"Flavour variety,Price,Brand,Packaging,Social cause",Not at all,No,₹100–₹200,Likely,Limited flavour options,Yes,Yes,Often,Yes,Other
25-34,Male,Working Professional,"20,000–50,000",Tier 3/Rural,Occasionally,"Whiskey,Vodka,Beer",Likely,Pub,Social gatherings,"Mango,Berry",Can,Pack of 6,Neutral,"Price,Brand,Flavour variety,Packaging,Social cause",Highly,No,₹200–₹300,Very likely,"Poor packaging,Health concerns",Yes,Yes,Occasionally,Yes,Other
35-44,Male,Working Professional,"20,000–50,000",Tier 1,Frequently,"Vodka,Cocktails",Likely,Bar,Social gatherings,"Mint,Orange",Glass bottle,Pack of 2,Slightly interested,"Flavour variety,Brand,Price,Social cause,Packaging",Extremely,No,₹100–₹200,Likely,"Health concerns,Other,Limited flavour options",No,Yes,Occasionally,Yes,Bar
18-24,Female,Working Professional,"50,000–1,00,000",Tier 2,Occasionally,"Cocktails,Vodka",Neutral,Bar,Outdoors,"Berry,Lime,Pineapple",Glass bottle,Pack of 6,Not interested,"Brand,Flavour variety,Price,Social cause,Packaging",Highly,No,>₹300,Very likely,"Limited flavour options,Not enough information/branding",Maybe,Yes,Occasionally,Yes,Bar
25-34,Male,Working Professional,"20,000–50,000",Tier 2,Occasionally,Beer,Likely,Duty-free,Social gatherings,"Orange,Guava,Litchi",Can,Pack of 12,Neutral,"Brand,Flavour variety,Price,Social cause,Packaging",Slightly,Doesn’t matter,₹200–₹300,Likely,"Limited flavour options,Health concerns,Poor packaging",Maybe,Yes,Occasionally,No,Retail shop
25-34,Female,Working Professional,"50,000–1,00,000",Tier 1,Occasionally,Beer,Neutral,Retail shop,At home,"Pineapple,Orange,Classic",Can,Pack of 2,Neutral,"Price,Flavour variety,Brand,Packaging,Social cause",Moderately,No,₹100–₹200,Neutral,"Limited flavour options,Health concerns,Other",No,Maybe,Occasionally,Yes,Retail shop
25-34,Female,Working Professional,"50,000–1,00,000",Tier 2,Rarely,"Beer,Vodka",Neutral,Pub,At home,"Litchi,Mint,Classic",No preference,Pack of 2,Interested,"Brand,Flavour variety,Price,Packaging,Social cause",Highly,Yes,>₹300,Very likely,"Health concerns,Lack of availability,Limited flavour options",Yes,Yes,Occasionally,Yes,Restaurant
25-34,Female,Working Professional,"20,000–50,000",Tier 1,Rarely,"Gin,Vodka,Rum",Very likely,Online,Social gatherings,"Guava,Berry,Classic",Can,Pack of 24,Slightly interested,"Brand,Price,Flavour variety,Social cause,Packaging",Slightly,No,₹100–₹200,Neutral,"High price,Limited flavour options",No,Yes,Occasionally,No,Bar
35-44,Male,Working Professional,">1,00,000",Metro,Rarely,"Gin,Cocktails,Other",Neutral,Restaurant,Outdoors,"Coffee,Orange,Mango",Can,Pack of 6,Very interested,"Brand,Price,Flavour variety,Social cause,Packaging",Extremely,Yes,>₹300,Likely,"Limited flavour options,Lack of availability,High price",Yes,Yes,Often,Yes,Restaurant
35-44,Male,Working Professional,"50,000–1,00,000",Metro,Occasionally,"Rum,Vodka,Beer",Likely,Duty-free,Bars/Pubs,"Coffee,Orange",Glass bottle,Pack of 6,Interested,"Flavour variety,Price,Brand,Social cause,Packaging",Extremely,No,₹200–₹300,Likely,"Health concerns,Not enough information/branding",No,No,Always,No,Online
25-34,Male,Working Professional,"50,000–1,00,000",Metro,Occasionally,"Gin,Beer",Likely,Bar,Social gatherings,"Orange,Mango,Mint",Can,Pack of 12,Neutral,"Brand,Price,Flavour variety,Packaging,Social cause",Moderately,No,₹100–₹200,Likely,High price,Maybe,Yes,Occasionally,No,Retail shop
25-34,Male,Working Professional,"<20,000",Tier 3/Rural,Frequently,Beer,Unlikely,Retail shop,Social gatherings,"Berry,Lime",Can,Pack of 2,Not interested,"Flavour variety,Brand,Price,Packaging,Social cause",Extremely,Doesn’t matter,>₹300,Likely,"Limited flavour options,Lack of availability",Yes,Yes,Occasionally,No,Retail shop
25-34,Male,Working Professional,"20,000–50,000",Tier 1,Occasionally,"Rum,Beer",Likely,Retail shop,Social gatherings,"Coffee,Orange",Can,Pack of 6,Neutral,"Flavour variety,Price,Brand,Packaging,Social cause",Highly,Doesn’t matter,₹200–₹300,Very unlikely,"Not enough information/branding,Lack of availability",Yes,Yes,Occasionally,No,Retail shop
25-34,Male,Entrepreneur,"50,000–1,00,000",Tier 1,Occasionally,Beer,Very unlikely,Retail shop,Outdoors,"Guava,Classic",Glass bottle,Pack of 6,Not interested,"Price,Flavour variety,Brand,Packaging,Social cause",Highly,Yes,>₹300,Very likely,High price,Yes,Yes,Occasionally,No,Retail shop
25-34,Female,Working Professional,">1,00,000",Tier 2,Occasionally,Whiskey,Neutral,Retail shop,Social gatherings,"Lime,Guava,Orange",Can,Pack of 6,Interested,"Flavour variety,Price,Brand,Packaging,Social cause",Moderately,Doesn’t matter,₹100–₹200,Likely,Not enough information/branding,Yes,Yes,Occasionally,No,Retail shop
55+,Male,Working Professional,"50,000–1,00,000",Tier 1,Occasionally,"Whiskey,Beer",Likely,Retail shop,Social gatherings,"Berry,Orange",Can,Pack of 2,Not interested,"Brand,Price,Flavour variety,Packaging,Social cause",Slightly,Doesn’t matter,₹200–₹300,Neutral,"Lack of availability,High price",Maybe,Maybe,Occasionally,No,Online
35-44,Female,Working Professional,"<20,000",Metro,Rarely,"Cocktails,Beer,Vodka",Neutral,Bar,At home,Pineapple,Glass bottle,Pack of 6,Interested,"Brand,Price,Flavour variety,Packaging,Social cause",Moderately,No,₹100–₹200,Likely,"Lack of availability,Health concerns,Not enough information/branding",Yes,Maybe,Never,No,Other
18-24,Male,Working Professional,"50,000–1,00,000",Tier 3/Rural,Occasionally,"Beer,Other",Likely,Retail shop,Restaurants,"Berry,Classic",No preference,Pack of 6,Slightly interested,"Flavour variety,Brand,Price,Social cause,Packaging",Slightly,Doesn’t matter,>₹300,Very unlikely,"Health concerns,Poor packaging",Yes,Maybe,Never,No,Retail shop
25-34,Female,Working Professional,"50,000–1,00,000",Tier 3/Rural,Frequently,Cocktails,Likely,Online,Social gatherings,"Pineapple,Litchi",Glass bottle,Pack of 2,Interested,"Flavour variety,Price,Brand,Packaging,Social cause",Highly,Yes,₹200–₹300,Unlikely,"Limited flavour options,Other",No,Maybe,Never,Yes,Restaurant
25-34,Male,Other,"20,000–50,000",Tier 3/Rural,Frequently,"Whiskey,Cocktails,Gin",Very likely,Online,At home,Coffee,Can,Pack of 6,Neutral,"Price,Flavour variety,Brand,Social cause,Packaging",Moderately,Doesn’t matter,₹200–₹300,Likely,High price,Maybe,Yes,Occasionally,No,Retail shop
25-34,Female,Working Professional,"20,000–50,000",Tier 2,Rarely,"Whiskey,Gin,Vodka",Very likely,Restaurant,Social gatherings,"Mango,Lime",Glass bottle,Pack of 6,Not interested,"Flavour variety,Price,Brand,Packaging,Social cause",Slightly,Doesn’t matter,₹100–₹200,Likely,Not enough information/branding,Yes,Yes,Often,No,Bar
18-24,Male,Working Professional,"50,000–1,00,000",Tier 1,Rarely,"Beer,Whiskey",Very likely,Online,Social gatherings,"Mint,Litchi,Berry",No preference,Pack of 6,Interested,"Brand,Flavour variety,Price,Packaging,Social cause",Highly,Doesn’t matter,>₹300,Likely,"Poor packaging,Limited flavour options",Yes,Maybe,Occasionally,No,Retail shop
18-24,Female,Working Professional,"50,000–1,00,000",Tier 3/Rural,Frequently,"Beer,Rum",Likely,Pub,Bars/Pubs,Mango,Can,Pack of 12,Interested,"Brand,Flavour variety,Price,Social cause,Packaging",Slightly,Yes,₹100–₹200,Very likely,Lack of availability,Maybe,Yes,Occasionally,No,Retail shop
25-34,Female,Working Professional,"20,000–50,000",Tier 2,Rarely,"Whiskey,Rum,Vodka",Very likely,Pub,Outdoors,"Berry,Orange,Mint",No preference,Pack of 12,Not interested,"Flavour variety,Brand,Price,Packaging,Social cause",Moderately,No,<₹100,Neutral,"Health concerns,Lack of availability,High price",No,Yes,Always,No,Retail shop
25-34,Male,Working Professional,"20,000–50,000",Tier 2,Frequently,"Beer,Cocktails",Neutral,Bar,Restaurants,"Litchi,Guava",No preference,Pack of 12,Interested,"Price,Flavour variety,Brand,Social cause,Packaging",Moderately,No,₹200–₹300,Very likely,Limited flavour options,Yes,No,Often,Yes,Retail shop
25-34,Female,Working Professional,"20,000–50,000",Tier 2,Occasionally,"Beer,Whiskey",Neutral,Online,At home,Coffee,Glass bottle,Pack of 6,Neutral,"Brand,Price,Flavour variety,Packaging,Social cause",Highly,Doesn’t matter,>₹300,Likely,"High price,Limited flavour options",Maybe,Yes,Occasionally,No,Retail shop
35-44,Male,Working Professional,"50,000–1,00,000",Tier 2,Occasionally,"Beer,Gin,Vodka",Very likely,Retail shop,At home,Litchi,Can,Pack of 12,Slightly interested,"Brand,Price,Flavour variety,Social cause,Packaging",Moderately,Doesn’t matter,<₹100,Neutral,"Lack of availability,Health concerns,Limited flavour options",Yes,Yes,Occasionally,No,Retail shop
18-24,Male,Working Professional,"20,000–50,000",Metro,Occasionally,"Beer,Cocktails,Vodka",Likely,Retail shop,Outdoors,"Litchi,Orange,Berry",Glass bottle,Pack of 12,Interested,"Brand,Price,Flavour variety,Packaging,Social cause",Highly,Yes,<₹100,Neutral,"Lack of availability,Health concerns,High price",Yes,Maybe,Occasionally,No,Retail shop
25-34,Male,Homemaker,"<20,000",Tier 1,Rarely,"Beer,Whiskey",Likely,Restaurant,Restaurants,"Guava,Lime",Glass bottle,Pack of 2,Slightly interested,"Brand,Flavour variety,Price,Social cause,Packaging",Highly,Yes,₹200–₹300,Neutral,"High price,Health concerns,Limited flavour options",Maybe,Yes,Occasionally,No,Retail shop
25-34,Male,Entrepreneur,"20,000–50,000",Tier 3/Rural,Occasionally,"Cocktails,Beer,Whiskey",Likely,Online,At home,"Coffee,Mango,Pineapple",Glass bottle,Pack of 2,Interested,"Flavour variety,Price,Brand,Social cause,Packaging",Highly,Doesn’t matter,₹200–₹300,Likely,"Not enough information/branding,Poor packaging",Yes,No,Often,No,Retail shop
25-34,Male,Working Professional,"50,000–1,00,000",Tier 1,Occasionally,"Rum,Gin",Neutral,Other,At home,Litchi,Glass bottle,Pack of 12,Interested,"Price,Brand,Flavour variety,Social cause,Packaging",Moderately,Doesn’t matter,>₹300,Very likely,Lack of availability,Yes,Yes,Often,No,Restaurant
25-34,Male,Working Professional,"<20,000",Tier 3/Rural,Rarely,Cocktails,Very unlikely,Retail shop,Bars/Pubs,Guava,No preference,Pack of 6,Slightly interested,"Price,Brand,Flavour variety,Packaging,Social cause",Moderately,Doesn’t matter,₹200–₹300,Likely,"High price,Health concerns",Maybe,Maybe,Occasionally,Yes,Online
25-34,Female,Student,"50,000–1,00,000",Metro,Never,Gin,Likely,Bar,Social gatherings,"Mango,Orange,Guava",Glass bottle,Pack of 2,Neutral,"Price,Brand,Flavour variety,Packaging,Social cause",Moderately,Doesn’t matter,₹200–₹300,Very likely,"Poor packaging,High price",Yes,No,Often,No,Online
35-44,Male,Other,"50,000–1,00,000",Tier 2,Never,"Whiskey,Vodka,Beer",Unlikely,Retail shop,Social gatherings,"Mango,Pineapple",Glass bottle,Pack of 6,Slightly interested,"Brand,Flavour variety,Price,Social cause,Packaging",Highly,Yes,₹100–₹200,Neutral,"Other,Limited flavour options",No,No,Often,No,Retail shop
35-44,Male,Working Professional,"<20,000",Tier 1,Rarely,"Beer,Whiskey,Vodka",Neutral,Other,Restaurants,"Pineapple,Guava,Lime",Glass bottle,Pack of 24,Interested,"Flavour variety,Brand,Price,Social cause,Packaging",Not at all,Doesn’t matter,₹100–₹200,Very likely,"Limited flavour options,Not enough information/branding",Maybe,Yes,Often,Yes,Online
25-34,Female,Working Professional,"20,000–50,000",Tier 3/Rural,Rarely,Vodka,Likely,Pub,Social gatherings,"Litchi,Coffee",Glass bottle,Pack of 6,Interested,"Brand,Price,Flavour variety,Packaging,Social cause",Highly,Doesn’t matter,>₹300,Likely,Limited flavour options,Yes,Yes,Always,Yes,Retail shop
25-34,Female,Working Professional,"20,000–50,000",Metro,Occasionally,Beer,Likely,Bar,Social gatherings,Mango,No preference,Pack of 6,Interested,"Brand,Flavour variety,Price,Social cause,Packaging",Moderately,Doesn’t matter,₹200–₹300,Neutral,"High price,Lack of availability,Limited flavour options",Yes,No,Often,Yes,Restaurant
18-24,Male,Entrepreneur,"20,000–50,000",Tier 3/Rural,Occasionally,Whiskey,Likely,Retail shop,Social gatherings,Mango,No preference,Pack of 6,Interested,"Flavour variety,Price,Brand,Packaging,Social cause",Slightly,Yes,>₹300,Likely,Health concerns,Yes,Maybe,Often,Yes,Retail shop
25-34,Female,Working Professional,"20,000–50,000",Tier 3/Rural,Frequently,"Vodka,Gin",Neutral,Restaurant,Restaurants,"Mango,Guava",Glass bottle,Pack of 2,Interested,"Brand,Flavour variety,Price,Packaging,Social cause",Highly,No,₹200–₹300,Likely,Lack of availability,Yes,Yes,Often,Yes,Online
45-54,Male,Homemaker,">1,00,000",Tier 1,Occasionally,"Gin,Cocktails,Beer",Neutral,Retail shop,Restaurants,"Mango,Berry",Glass bottle,Pack of 12,Neutral,"Brand,Flavour variety,Price,Social cause,Packaging",Slightly,Doesn’t matter,>₹300,Neutral,"Not enough information/branding,Lack of availability,High price",No,Yes,Always,No,Retail shop
18-24,Male,Student,"<20,000",Metro,Occasionally,Whiskey,Likely,Pub,Restaurants,Mango,Glass bottle,Pack of 6,Slightly interested,"Brand,Price,Flavour variety,Packaging,Social cause",Not at all,Doesn’t matter,<₹100,Very likely,Health concerns,Yes,Yes,Always,No,Retail shop
25-34,Male,Entrepreneur,">1,00,000",Tier 3/Rural,Frequently,Rum,Neutral,Bar,Bars/Pubs,Orange,Can,Pack of 2,Interested,"Price,Brand,Flavour variety,Packaging,Social cause",Highly,Yes,₹100–₹200,Neutral,"High price,Not enough information/branding",Maybe,Yes,Often,No,Retail shop
25-34,Male,Student,"<20,000",Tier 3/Rural,Rarely,Vodka,Very likely,Online,At home,"Mint,Lime",Glass bottle,Pack of 12,Interested,"Price,Flavour variety,Brand,Social cause,Packaging",Not at all,No,₹100–₹200,Likely,"Limited flavour options,High price",Yes,Maybe,Occasionally,No,Online
25-34,Female,Homemaker,"<20,000",Tier 3/Rural,Frequently,"Beer,Vodka",Likely,Retail shop,Social gatherings,"Litchi,Lime",Glass bottle,Pack of 6,Very interested,"Flavour variety,Price,Brand,Packaging,Social cause",Moderately,Yes,₹100–₹200,Likely,"Lack of availability,Poor packaging",Maybe,Yes,Often,No,Restaurant
18-24,Male,Working Professional,"50,000–1,00,000",Metro,Occasionally,"Beer,Rum",Very likely,Bar,At home,"Guava,Pineapple,Classic",Glass bottle,Pack of 2,Interested,"Brand,Flavour variety,Price,Social cause,Packaging",Extremely,Yes,>₹300,Likely,Poor packaging,Maybe,No,Often,Yes,Online
25-34,Male,Working Professional,"<20,000",Tier 3/Rural,Occasionally,"Vodka,Whiskey",Likely,Retail shop,Restaurants,Coffee,Glass bottle,Pack of 6,Interested,"Brand,Price,Flavour variety,Social cause,Packaging",Extremely,Doesn’t matter,₹100–₹200,Neutral,Poor packaging,Yes,Maybe,Occasionally,Yes,Online
35-44,Male,Working Professional,"<20,000",Metro,Occasionally,Beer,Likely,Other,At home,"Pineapple,Classic",Glass bottle,Pack of 12,Very interested,"Price,Brand,Flavour variety,Social cause,Packaging",Moderately,Doesn’t matter,>₹300,Very likely,"Limited flavour options,Health concerns",No,Maybe,Always,Yes,Restaurant
35-44,Male,Other,"50,000–1,00,000",Tier 2,Frequently,Whiskey,Unlikely,Retail shop,At home,"Guava,Litchi,Lime",Glass bottle,Pack of 12,Interested,"Brand,Price,Flavour variety,Social cause,Packaging",Not at all,Doesn’t matter,₹200–₹300,Unlikely,"Lack of availability,Limited flavour options",Maybe,Yes,Never,No,Retail shop
25-34,Female,Student,"20,000–50,000",Tier 2,Occasionally,Cocktails,Likely,Duty-free,Social gatherings,Pineapple,Glass bottle,Pack of 12,Interested,"Flavour variety,Brand,Price,Packaging,Social cause",Slightly,Doesn’t matter,₹200–₹300,Likely,"Not enough information/branding,Other",Yes,Yes,Often,No,Retail shop
18-24,Male,Working Professional,"20,000–50,000",Tier 1,Occasionally,"Whiskey,Gin",Very unlikely,Bar,Social gatherings,Lime,Can,Pack of 6,Very interested,"Flavour variety,Price,Brand,Social cause,Packaging",Moderately,Yes,<₹100,Unlikely,Health concerns,Yes,Yes,Always,Yes,Bar
25-34,Male,Working Professional,">1,00,000",Tier 1,Occasionally,"Cocktails,Whiskey,Other",Likely,Retail shop,Bars/Pubs,Orange,Glass bottle,Pack of 6,Neutral,"Brand,Price,Flavour variety,Social cause,Packaging",Extremely,Yes,₹100–₹200,Neutral,"Other,Poor packaging",Yes,Maybe,Often,No,Retail shop
25-34,Male,Working Professional,"20,000–50,000",Metro,Occasionally,"Vodka,Gin",Likely,Bar,At home,Berry,No preference,Pack of 2,Interested,"Flavour variety,Brand,Price,Packaging,Social cause",Not at all,Doesn’t matter,<₹100,Neutral,"Poor packaging,Not enough information/branding,High price",Yes,Maybe,Never,No,Retail shop
18-24,Male,Working Professional,"50,000–1,00,000",Tier 3/Rural,Occasionally,Rum,Very unlikely,Pub,Outdoors,Coffee,Glass bottle,Pack of 6,Neutral,"Brand,Flavour variety,Price,Social cause,Packaging",Highly,Yes,₹100–₹200,Neutral,"Not enough information/branding,Other",Yes,No,Occasionally,Yes,Retail shop
45-54,Male,Entrepreneur,"20,000–50,000",Tier 1,Rarely,"Rum,Vodka,Gin",Neutral,Retail shop,Outdoors,Classic,Can,Pack of 12,Interested,"Price,Flavour variety,Brand,Packaging,Social cause",Moderately,Yes,<₹100,Very likely,"Lack of availability,Other,Poor packaging",Yes,Yes,Occasionally,No,Other
45-54,Male,Working Professional,"20,000–50,000",Metro,Occasionally,"Beer,Whiskey,Vodka",Neutral,Bar,Social gatherings,Orange,No preference,Pack of 12,Very interested,"Brand,Price,Flavour variety,Packaging,Social cause",Extremely,Doesn’t matter,₹200–₹300,Likely,"High price,Health concerns",Yes,No,Occasionally,Yes,Other
35-44,Non-binary/Other,Other,"20,000–50,000",Tier 3/Rural,Occasionally,"Vodka,Rum",Very likely,Retail shop,Social gatherings,"Lime,Pineapple,Coffee",No preference,Pack of 6,Interested,"Price,Flavour variety,Brand,Social cause,Packaging",Extremely,Yes,>₹300,Neutral,"Not enough information/branding,High price",Yes,Yes,Never,No,Online
18-24,Male,Working Professional,"20,000–50,000",Metro,Occasionally,"Rum,Whiskey",Likely,Pub,Social gatherings,Mint,Can,Pack of 12,Interested,"Flavour variety,Price,Brand,Packaging,Social cause",Moderately,Yes,<₹100,Neutral,"Poor packaging,Lack of availability,Not enough information/branding",Yes,Yes,Occasionally,No,Retail shop
18-24,Male,Working Professional,">1,00,000",Metro,Occasionally,"Whiskey,Vodka,Beer",Likely,Restaurant,Bars/Pubs,Litchi,Glass bottle,Pack of 2,Very interested,"Flavour variety,Price,Brand,Packaging,Social cause",Moderately,Yes,₹200–₹300,Likely,"Other,Health concerns,Limited flavour options",Yes,Yes,Always,Yes,Retail shop
25-34,Male,Working Professional,"20,000–50,000",Tier 1,Rarely,"Rum,Cocktails,Whiskey",Neutral,Bar,Bars/Pubs,"Litchi,Orange,Berry",Glass bottle,Pack of 24,Interested,"Brand,Price,Flavour variety,Social cause,Packaging",Highly,Yes,>₹300,Unlikely,Health concerns,Yes,Maybe,Often,No,Online
25-34,Female,Entrepreneur,">1,00,000",Tier 1,Occasionally,"Rum,Whiskey",Likely,Retail shop,At home,"Berry,Litchi",Can,Pack of 6,Interested,"Flavour variety,Price,Brand,Packaging,Social cause",Not at all,Doesn’t matter,₹200–₹300,Very likely,"Health concerns,Poor packaging,Other",Yes,Maybe,Occasionally,No,Retail shop
25-34,Male,Working Professional,"20,000–50,000",Tier 1,Rarely,"Vodka,Beer",Likely,Duty-free,Outdoors,Guava,Glass bottle,Pack of 2,Interested,"Price,Brand,Flavour variety,Social cause,Packaging",Extremely,Yes,₹200–₹300,Likely,"Lack of availability,High price",Yes,Maybe,Occasionally,Yes,Bar
35-44,Male,Working Professional,"20,000–50,000",Metro,Occasionally,Whiskey,Unlikely,Retail shop,At home,"Coffee,Mango,Pineapple",Can,Pack of 24,Slightly interested,"Price,Flavour variety,Brand,Social cause,Packaging",Moderately,Doesn’t matter,₹100–₹200,Very likely,Health concerns,Yes,Yes,Never,Yes,Retail shop
